,Date,KeyWord,ActSubCase,Stage,Type,Date_new,days
0,2021-05-01 00:00:00,recoveryofmoney,370,misccases/purpose,cs(comm),2021-05-01,466
1,2021-07-09 00:00:00,permanentinjuction,730,misccases/purpose,csdj,2021-07-09,397
2,22-9-2021,executionact1990,10,misccases/purpose,ex,2021-09-22,322
3,23-9-2021,recoveryofmoney,2(1)(c)(i),plaintiff/petitionerevidence,cs(comm),2021-09-23,321
4,29-9-2021,recoveryofmoney,1510,misccases/purpose,cs(comm),2021-09-29,315
5,2021-05-10 00:00:00,executionact1990,"execution
",misccases/purpose,ex,2021-05-10,457
6,2021-07-10 00:00:00,partition,840,misccases/purpose,csdj,2021-07-10,396
7,2021-09-10 00:00:00,recoveryofmoney,iv,misccases/purpose,cs(comm),2021-09-10,334
8,28-10-2021,recoveryofmoney,740,misccases/purpose,cs(comm),2021-10-28,286
9,30-10-2021,civilcases,"civil,suit",misccases/purpose,cs(comm),2021-10-30,284
10,2021-08-12 00:00:00,recoveryofmoney,80,misccases/purpose,cs(comm),2021-08-12,363
11,2021-08-12 00:00:00,recoveryofmoney,80,misccases/purpose,cs(comm),2021-08-12,363
12,17-12-2021,motorvehicleact,1660,misccases/purpose,mact,2021-12-17,236
13,14-12-2021,recoveryofmoney,2(1)(c)(i),misc/appearance,cs(comm),2021-12-14,239
14,24-12-2021,recoveryofmoney,2(1)(c)(i),misc/appearance,cs(comm),2021-12-24,229
15,24-12-2021,recoveryofmoney,740,misccases/purpose,cs(comm),2021-12-24,229
16,20-12-2021,arbitrationapplicationsu/s9,90,misc/appearance,arbtn,2021-12-20,233
17,2021-09-07 00:00:00,recoveryofmoney,recovery,misccases/purpose,cs(comm),2021-09-07,337
18,23-8-2021,possessionandrecoveryofrent/damages/mesneprofit,800,miscarguments,csdj,2021-08-23,352
19,18-12-2021,"arbitration&conciliationact,1996",90,misccases/purpose,omp(i)(comm),2021-12-18,235
20,30-10-2021,civilcases,"civil,suit",misc/appearance,cs(comm),2021-10-30,284
21,2021-08-12 00:00:00,recoveryofmoney,80,misccases/purpose,cs(comm),2021-08-12,363
22,2018-04-12 00:00:00,suitfordeclaration,permtinjct,plaintiff/petitionerevidence,csdj,2018-04-12,1581
23,2018-09-07 00:00:00,"arbitration&conciliationact,1996",340,misccases/purpose,arbtn,2018-09-07,1433
24,2018-03-12 00:00:00,executionact1990,petition,misccases/purpose,ex,2018-03-12,1612
25,2021-01-02 00:00:00,motorvehicleact,184expl(a),misc/appearance,crcase,2021-01-02,585
26,2021-10-02 00:00:00,motorvehicleact,184expl(a),trafficchallan,tc,2021-10-02,312
27,2021-04-10 00:00:00,companiesact,188(5),misc/appearance,ctcases,2021-04-10,487
28,28-07-2021,ipc,343794110,misccases/purpose,crcase,2021-07-28,378
29,15-11-2021,negotiableinstrumentsact,1380,misc/appearance,ccniact,2021-11-15,268
30,2021-12-11 00:00:00,ipc,3790,misc/appearance,crcase,2021-12-11,242
31,2021-12-11 00:00:00,ipc,3790,misc/appearance,crcase,2021-12-11,242
32,2021-12-11 00:00:00,ipc,3790,misc/appearance,crcase,2021-12-11,242
33,2021-01-02 00:00:00,motorvehicleact,184expl(a),misc/appearance,tc,2021-01-02,585
34,2021-10-02 00:00:00,motorvehicleact,184expl(a),trafficchallan,tc,2021-10-02,312
35,28-09-2021,companiesact,188(5),misc/appearance,ctcases,2021-09-28,316
36,15-11-2021,negotiableinstrumentsact,1380,misc/appearance,ccniact,2021-11-15,268
37,2021-12-11 00:00:00,ipc,3790,misc/appearance,crcase,2021-12-11,242
38,2021-12-11 00:00:00,ipc,3790,misc/appearance,crcase,2021-12-11,242
39,2021-05-01 00:00:00,ipc,379/411,misc/appearance,crcase,2021-05-01,466
